"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"02/12/2025 23:45:00 - 03/12/2025 00:00:00","BZN|NL","Fossil Gas","7458.94"
"26/11/2025 00:00:00 - 26/11/2025 00:15:00","BZN|NL","Fossil Hard coal","2745.74"
"26/11/2025 00:15:00 - 26/11/2025 00:30:00","BZN|NL","Fossil Hard coal","2657.31"
"26/11/2025 00:30:00 - 26/11/2025 00:45:00","BZN|NL","Fossil Hard coal","2583.78"
"26/11/2025 00:45:00 - 26/11/2025 01:00:00","BZN|NL","Fossil Hard coal","2462.39"
"26/11/2025 01:00:00 - 26/11/2025 01:15:00","BZN|NL","Fossil Hard coal","2384.76"
"26/11/2025 01:15:00 - 26/11/2025 01:30:00","BZN|NL","Fossil Hard coal","2309.07"
"26/11/2025 01:30:00 - 26/11/2025 01:45:00","BZN|NL","Fossil Hard coal","2224.36"
"26/11/2025 01:45:00 - 26/11/2025 02:00:00","BZN|NL","Fossil Hard coal","2184.31"
"26/11/2025 02:00:00 - 26/11/2025 02:15:00","BZN|NL","Fossil Hard coal","2190.65"
"26/11/2025 02:15:00 - 26/11/2025 02:30:00","BZN|NL","Fossil Hard coal","2175.79"
"26/11/2025 02:30:00 - 26/11/2025 02:45:00","BZN|NL","Fossil Hard coal","2161.11"
"26/11/2025 02:45:00 - 26/11/2025 03:00:00","BZN|NL","Fossil Hard coal","2154.47"
"26/11/2025 03:00:00 - 26/11/2025 03:15:00","BZN|NL","Fossil Hard coal","2153.05"
"26/11/2025 03:15:00 - 26/11/2025 03:30:00","BZN|NL","Fossil Hard coal","2155.73"
"26/11/2025 03:30:00 - 26/11/2025 03:45:00","BZN|NL","Fossil Hard coal","2170.28"
"26/11/2025 03:45:00 - 26/11/2025 04:00:00","BZN|NL","Fossil Hard coal","2242.40"
"26/11/2025 04:00:00 - 26/11/2025 04:15:00","BZN|NL","Fossil Hard coal","2299.14"
"26/11/2025 04:15:00 - 26/11/2025 04:30:00","BZN|NL","Fossil Hard coal","2403.86"
"26/11/2025 04:30:00 - 26/11/2025 04:45:00","BZN|NL","Fossil Hard coal","2529.28"
"26/11/2025 04:45:00 - 26/11/2025 05:00:00","BZN|NL","Fossil Hard coal","2711.27"
"26/11/2025 05:00:00 - 26/11/2025 05:15:00","BZN|NL","Fossil Hard coal","2912.07"
"26/11/2025 05:15:00 - 26/11/2025 05:30:00","BZN|NL","Fossil Hard coal","3101.23"
"26/11/2025 05:30:00 - 26/11/2025 05:45:00","BZN|NL","Fossil Hard coal","3176.55"
"26/11/2025 05:45:00 - 26/11/2025 06:00:00","BZN|NL","Fossil Hard coal","3212.07"
"26/11/2025 06:00:00 - 26/11/2025 06:15:00","BZN|NL","Fossil Hard coal","3308.11"
"26/11/2025 06:15:00 - 26/11/2025 06:30:00","BZN|NL","Fossil Hard coal","3329.32"
"26/11/2025 06:30:00 - 26/11/2025 06:45:00","BZN|NL","Fossil Hard coal","3330.57"
"26/11/2025 06:45:00 - 26/11/2025 07:00:00","BZN|NL","Fossil Hard coal","3315.15"
"26/11/2025 07:00:00 - 26/11/2025 07:15:00","BZN|NL","Fossil Hard coal","3333.06"
"26/11/2025 07:15:00 - 26/11/2025 07:30:00","BZN|NL","Fossil Hard coal","3325.67"
"26/11/2025 07:30:00 - 26/11/2025 07:45:00","BZN|NL","Fossil Hard coal","3326.33"
"26/11/2025 07:45:00 - 26/11/2025 08:00:00","BZN|NL","Fossil Hard coal","3331.79"
"26/11/2025 08:00:00 - 26/11/2025 08:15:00","BZN|NL","Fossil Hard coal","3336.08"
"26/11/2025 08:15:00 - 26/11/2025 08:30:00","BZN|NL","Fossil Hard coal","3350.64"
"26/11/2025 08:30:00 - 26/11/2025 08:45:00","BZN|NL","Fossil Hard coal","3364.79"
"26/11/2025 08:45:00 - 26/11/2025 09:00:00","BZN|NL","Fossil Hard coal","3356.27"
"26/11/2025 09:00:00 - 26/11/2025 09:15:00","BZN|NL","Fossil Hard coal","3351.69"
"26/11/2025 09:15:00 - 26/11/2025 09:30:00","BZN|NL","Fossil Hard coal","3343.72"
"26/11/2025 09:30:00 - 26/11/2025 09:45:00","BZN|NL","Fossil Hard coal","3344.47"
"26/11/2025 09:45:00 - 26/11/2025 10:00:00","BZN|NL","Fossil Hard coal","3352.26"
"26/11/2025 10:00:00 - 26/11/2025 10:15:00","BZN|NL","Fossil Hard coal","3332.91"
"26/11/2025 10:15:00 - 26/11/2025 10:30:00","BZN|NL","Fossil Hard coal","3342.69"
"26/11/2025 10:30:00 - 26/11/2025 10:45:00","BZN|NL","Fossil Hard coal","3344.82"
"26/11/2025 10:45:00 - 26/11/2025 11:00:00","BZN|NL","Fossil Hard coal","3334.94"
"26/11/2025 11:00:00 - 26/11/2025 11:15:00","BZN|NL","Fossil Hard coal","3339.47"
"26/11/2025 11:15:00 - 26/11/2025 11:30:00","BZN|NL","Fossil Hard coal","3332.23"
"26/11/2025 11:30:00 - 26/11/2025 11:45:00","BZN|NL","Fossil Hard coal","3347.15"
"26/11/2025 11:45:00 - 26/11/2025 12:00:00","BZN|NL","Fossil Hard coal","3343.93"
"26/11/2025 12:00:00 - 26/11/2025 12:15:00","BZN|NL","Fossil Hard coal","3369.54"
"26/11/2025 12:15:00 - 26/11/2025 12:30:00","BZN|NL","Fossil Hard coal","3357.25"
"26/11/2025 12:30:00 - 26/11/2025 12:45:00","BZN|NL","Fossil Hard coal","3328.22"
"26/11/2025 12:45:00 - 26/11/2025 13:00:00","BZN|NL","Fossil Hard coal","3313.62"
"26/11/2025 13:00:00 - 26/11/2025 13:15:00","BZN|NL","Fossil Hard coal","3306.91"
"26/11/2025 13:15:00 - 26/11/2025 13:30:00","BZN|NL","Fossil Hard coal","3313.00"
"26/11/2025 13:30:00 - 26/11/2025 13:45:00","BZN|NL","Fossil Hard coal","3306.03"
"26/11/2025 13:45:00 - 26/11/2025 14:00:00","BZN|NL","Fossil Hard coal","3329.94"
"26/11/2025 14:00:00 - 26/11/2025 14:15:00","BZN|NL","Fossil Hard coal","3328.20"
"26/11/2025 14:15:00 - 26/11/2025 14:30:00","BZN|NL","Fossil Hard coal","3344.35"
"26/11/2025 14:30:00 - 26/11/2025 14:45:00","BZN|NL","Fossil Hard coal","3344.92"
"26/11/2025 14:45:00 - 26/11/2025 15:00:00","BZN|NL","Fossil Hard coal","3345.27"
"26/11/2025 15:00:00 - 26/11/2025 15:15:00","BZN|NL","Fossil Hard coal","3359.99"
"26/11/2025 15:15:00 - 26/11/2025 15:30:00","BZN|NL","Fossil Hard coal","3346.21"
"26/11/2025 15:30:00 - 26/11/2025 15:45:00","BZN|NL","Fossil Hard coal","3350.42"
"26/11/2025 15:45:00 - 26/11/2025 16:00:00","BZN|NL","Fossil Hard coal","3377.45"
"26/11/2025 16:00:00 - 26/11/2025 16:15:00","BZN|NL","Fossil Hard coal","3355.26"
"26/11/2025 16:15:00 - 26/11/2025 16:30:00","BZN|NL","Fossil Hard coal","3363.51"
"26/11/2025 16:30:00 - 26/11/2025 16:45:00","BZN|NL","Fossil Hard coal","3355.26"
"26/11/2025 16:45:00 - 26/11/2025 17:00:00","BZN|NL","Fossil Hard coal","3379.01"
"26/11/2025 17:00:00 - 26/11/2025 17:15:00","BZN|NL","Fossil Hard coal","3335.90"
"26/11/2025 17:15:00 - 26/11/2025 17:30:00","BZN|NL","Fossil Hard coal","3339.64"
"26/11/2025 17:30:00 - 26/11/2025 17:45:00","BZN|NL","Fossil Hard coal","3375.91"
"26/11/2025 17:45:00 - 26/11/2025 18:00:00","BZN|NL","Fossil Hard coal","3355.49"
"26/11/2025 18:00:00 - 26/11/2025 18:15:00","BZN|NL","Fossil Hard coal","3379.93"
"26/11/2025 18:15:00 - 26/11/2025 18:30:00","BZN|NL","Fossil Hard coal","3367.59"
"26/11/2025 18:30:00 - 26/11/2025 18:45:00","BZN|NL","Fossil Hard coal","3363.80"
"26/11/2025 18:45:00 - 26/11/2025 19:00:00","BZN|NL","Fossil Hard coal","3356.10"
"26/11/2025 19:00:00 - 26/11/2025 19:15:00","BZN|NL","Fossil Hard coal","3364.30"
"26/11/2025 19:15:00 - 26/11/2025 19:30:00","BZN|NL","Fossil Hard coal","3360.60"
"26/11/2025 19:30:00 - 26/11/2025 19:45:00","BZN|NL","Fossil Hard coal","3369.68"
"26/11/2025 19:45:00 - 26/11/2025 20:00:00","BZN|NL","Fossil Hard coal","3354.91"
"26/11/2025 20:00:00 - 26/11/2025 20:15:00","BZN|NL","Fossil Hard coal","3321.00"
"26/11/2025 20:15:00 - 26/11/2025 20:30:00","BZN|NL","Fossil Hard coal","3321.17"
"26/11/2025 20:30:00 - 26/11/2025 20:45:00","BZN|NL","Fossil Hard coal","3314.23"
"26/11/2025 20:45:00 - 26/11/2025 21:00:00","BZN|NL","Fossil Hard coal","3311.89"
"26/11/2025 21:00:00 - 26/11/2025 21:15:00","BZN|NL","Fossil Hard coal","3323.71"
"26/11/2025 21:15:00 - 26/11/2025 21:30:00","BZN|NL","Fossil Hard coal","3333.22"
"26/11/2025 21:30:00 - 26/11/2025 21:45:00","BZN|NL","Fossil Hard coal","3328.56"
"26/11/2025 21:45:00 - 26/11/2025 22:00:00","BZN|NL","Fossil Hard coal","3298.18"
"26/11/2025 22:00:00 - 26/11/2025 22:15:00","BZN|NL","Fossil Hard coal","3262.47"
"26/11/2025 22:15:00 - 26/11/2025 22:30:00","BZN|NL","Fossil Hard coal","3259.78"
"26/11/2025 22:30:00 - 26/11/2025 22:45:00","BZN|NL","Fossil Hard coal","3288.78"
"26/11/2025 22:45:00 - 26/11/2025 23:00:00","BZN|NL","Fossil Hard coal","3316.56"
"26/11/2025 23:00:00 - 26/11/2025 23:15:00","BZN|NL","Fossil Hard coal","3189.66"
"26/11/2025 23:15:00 - 26/11/2025 23:30:00","BZN|NL","Fossil Hard coal","3154.90"
"26/11/2025 23:30:00 - 26/11/2025 23:45:00","BZN|NL","Fossil Hard coal","3110.69"
"26/11/2025 23:45:00 - 27/11/2025 00:00:00","BZN|NL","Fossil Hard coal","3119.85"
"27/11/2025 00:00:00 - 27/11/2025 00:15:00","BZN|NL","Fossil Hard coal","2920.99"
"27/11/2025 00:15:00 - 27/11/2025 00:30:00","BZN|NL","Fossil Hard coal","2778.20"
"27/11/2025 00:30:00 - 27/11/2025 00:45:00","BZN|NL","Fossil Hard coal","2607.17"
"27/11/2025 00:45:00 - 27/11/2025 01:00:00","BZN|NL","Fossil Hard coal","2396.58"
"27/11/2025 01:00:00 - 27/11/2025 01:15:00","BZN|NL","Fossil Hard coal","2165.67"
"27/11/2025 01:15:00 - 27/11/2025 01:30:00","BZN|NL","Fossil Hard coal","1957.21"
"27/11/2025 01:30:00 - 27/11/2025 01:45:00","BZN|NL","Fossil Hard coal","1844.05"
"27/11/2025 01:45:00 - 27/11/2025 02:00:00","BZN|NL","Fossil Hard coal","1744.74"
"27/11/2025 02:00:00 - 27/11/2025 02:15:00","BZN|NL","Fossil Hard coal","1520.19"
"27/11/2025 02:15:00 - 27/11/2025 02:30:00","BZN|NL","Fossil Hard coal","1518.90"
"27/11/2025 02:30:00 - 27/11/2025 02:45:00","BZN|NL","Fossil Hard coal","1518.49"
"27/11/2025 02:45:00 - 27/11/2025 03:00:00","BZN|NL","Fossil Hard coal","1432.25"
"27/11/2025 03:00:00 - 27/11/2025 03:15:00","BZN|NL","Fossil Hard coal","1373.90"
"27/11/2025 03:15:00 - 27/11/2025 03:30:00","BZN|NL","Fossil Hard coal","1370.10"
"27/11/2025 03:30:00 - 27/11/2025 03:45:00","BZN|NL","Fossil Hard coal","1364.44"
"27/11/2025 03:45:00 - 27/11/2025 04:00:00","BZN|NL","Fossil Hard coal","1353.62"
"27/11/2025 04:00:00 - 27/11/2025 04:15:00","BZN|NL","Fossil Hard coal","1388.04"
"27/11/2025 04:15:00 - 27/11/2025 04:30:00","BZN|NL","Fossil Hard coal","1346.78"
"27/11/2025 04:30:00 - 27/11/2025 04:45:00","BZN|NL","Fossil Hard coal","1393.94"
"27/11/2025 04:45:00 - 27/11/2025 05:00:00","BZN|NL","Fossil Hard coal","1401.68"
"27/11/2025 05:00:00 - 27/11/2025 05:15:00","BZN|NL","Fossil Hard coal","1384.29"
"27/11/2025 05:15:00 - 27/11/2025 05:30:00","BZN|NL","Fossil Hard coal","1392.88"
"27/11/2025 05:30:00 - 27/11/2025 05:45:00","BZN|NL","Fossil Hard coal","1388.03"
"27/11/2025 05:45:00 - 27/11/2025 06:00:00","BZN|NL","Fossil Hard coal","1377.92"
"27/11/2025 06:00:00 - 27/11/2025 06:15:00","BZN|NL","Fossil Hard coal","1475.45"
"27/11/2025 06:15:00 - 27/11/2025 06:30:00","BZN|NL","Fossil Hard coal","1523.88"
"27/11/2025 06:30:00 - 27/11/2025 06:45:00","BZN|NL","Fossil Hard coal","1582.42"
"27/11/2025 06:45:00 - 27/11/2025 07:00:00","BZN|NL","Fossil Hard coal","1653.57"
"27/11/2025 07:00:00 - 27/11/2025 07:15:00","BZN|NL","Fossil Hard coal","1839.09"
"27/11/2025 07:15:00 - 27/11/2025 07:30:00","BZN|NL","Fossil Hard coal","2011.13"
"27/11/2025 07:30:00 - 27/11/2025 07:45:00","BZN|NL","Fossil Hard coal","2093.84"
"27/11/2025 07:45:00 - 27/11/2025 08:00:00","BZN|NL","Fossil Hard coal","2248.29"
"27/11/2025 08:00:00 - 27/11/2025 08:15:00","BZN|NL","Fossil Hard coal","2393.92"
"27/11/2025 08:15:00 - 27/11/2025 08:30:00","BZN|NL","Fossil Hard coal","2446.11"
"27/11/2025 08:30:00 - 27/11/2025 08:45:00","BZN|NL","Fossil Hard coal","2459.36"
"27/11/2025 08:45:00 - 27/11/2025 09:00:00","BZN|NL","Fossil Hard coal","2447.23"
"27/11/2025 09:00:00 - 27/11/2025 09:15:00","BZN|NL","Fossil Hard coal","2451.06"
"27/11/2025 09:15:00 - 27/11/2025 09:30:00","BZN|NL","Fossil Hard coal","2439.08"
"27/11/2025 09:30:00 - 27/11/2025 09:45:00","BZN|NL","Fossil Hard coal","2445.49"
"27/11/2025 09:45:00 - 27/11/2025 10:00:00","BZN|NL","Fossil Hard coal","2433.52"
"27/11/2025 10:00:00 - 27/11/2025 10:15:00","BZN|NL","Fossil Hard coal","2351.33"
"27/11/2025 10:15:00 - 27/11/2025 10:30:00","BZN|NL","Fossil Hard coal","2235.64"
"27/11/2025 10:30:00 - 27/11/2025 10:45:00","BZN|NL","Fossil Hard coal","2271.36"
"27/11/2025 10:45:00 - 27/11/2025 11:00:00","BZN|NL","Fossil Hard coal","2288.86"
"27/11/2025 11:00:00 - 27/11/2025 11:15:00","BZN|NL","Fossil Hard coal","2367.59"
"27/11/2025 11:15:00 - 27/11/2025 11:30:00","BZN|NL","Fossil Hard coal","2294.90"
"27/11/2025 11:30:00 - 27/11/2025 11:45:00","BZN|NL","Fossil Hard coal","2203.14"
"27/11/2025 11:45:00 - 27/11/2025 12:00:00","BZN|NL","Fossil Hard coal","2113.48"
"27/11/2025 12:00:00 - 27/11/2025 12:15:00","BZN|NL","Fossil Hard coal","2105.94"
"27/11/2025 12:15:00 - 27/11/2025 12:30:00","BZN|NL","Fossil Hard coal","2132.92"
"27/11/2025 12:30:00 - 27/11/2025 12:45:00","BZN|NL","Fossil Hard coal","2174.67"
"27/11/2025 12:45:00 - 27/11/2025 13:00:00","BZN|NL","Fossil Hard coal","2181.78"
"27/11/2025 13:00:00 - 27/11/2025 13:15:00","BZN|NL","Fossil Hard coal","2145.64"
"27/11/2025 13:15:00 - 27/11/2025 13:30:00","BZN|NL","Fossil Hard coal","2195.01"
"27/11/2025 13:30:00 - 27/11/2025 13:45:00","BZN|NL","Fossil Hard coal","2224.38"
"27/11/2025 13:45:00 - 27/11/2025 14:00:00","BZN|NL","Fossil Hard coal","2287.25"
"27/11/2025 14:00:00 - 27/11/2025 14:15:00","BZN|NL","Fossil Hard coal","2317.98"
"27/11/2025 14:15:00 - 27/11/2025 14:30:00","BZN|NL","Fossil Hard coal","2361.90"
"27/11/2025 14:30:00 - 27/11/2025 14:45:00","BZN|NL","Fossil Hard coal","2370.43"
"27/11/2025 14:45:00 - 27/11/2025 15:00:00","BZN|NL","Fossil Hard coal","2364.26"
"27/11/2025 15:00:00 - 27/11/2025 15:15:00","BZN|NL","Fossil Hard coal","2389.36"
"27/11/2025 15:15:00 - 27/11/2025 15:30:00","BZN|NL","Fossil Hard coal","2399.43"
"27/11/2025 15:30:00 - 27/11/2025 15:45:00","BZN|NL","Fossil Hard coal","2413.54"
"27/11/2025 15:45:00 - 27/11/2025 16:00:00","BZN|NL","Fossil Hard coal","2418.84"
"27/11/2025 16:00:00 - 27/11/2025 16:15:00","BZN|NL","Fossil Hard coal","2379.59"
"27/11/2025 16:15:00 - 27/11/2025 16:30:00","BZN|NL","Fossil Hard coal","2364.62"
"27/11/2025 16:30:00 - 27/11/2025 16:45:00","BZN|NL","Fossil Hard coal","2360.10"
"27/11/2025 16:45:00 - 27/11/2025 17:00:00","BZN|NL","Fossil Hard coal","2362.92"
"27/11/2025 17:00:00 - 27/11/2025 17:15:00","BZN|NL","Fossil Hard coal","2337.80"
"27/11/2025 17:15:00 - 27/11/2025 17:30:00","BZN|NL","Fossil Hard coal","2306.09"
"27/11/2025 17:30:00 - 27/11/2025 17:45:00","BZN|NL","Fossil Hard coal","2298.57"
"27/11/2025 17:45:00 - 27/11/2025 18:00:00","BZN|NL","Fossil Hard coal","2306.55"
"27/11/2025 18:00:00 - 27/11/2025 18:15:00","BZN|NL","Fossil Hard coal","2277.68"
"27/11/2025 18:15:00 - 27/11/2025 18:30:00","BZN|NL","Fossil Hard coal","2251.23"
"27/11/2025 18:30:00 - 27/11/2025 18:45:00","BZN|NL","Fossil Hard coal","2242.02"
"27/11/2025 18:45:00 - 27/11/2025 19:00:00","BZN|NL","Fossil Hard coal","2227.62"
"27/11/2025 19:00:00 - 27/11/2025 19:15:00","BZN|NL","Fossil Hard coal","2155.42"
"27/11/2025 19:15:00 - 27/11/2025 19:30:00","BZN|NL","Fossil Hard coal","2154.02"
"27/11/2025 19:30:00 - 27/11/2025 19:45:00","BZN|NL","Fossil Hard coal","2147.41"
"27/11/2025 19:45:00 - 27/11/2025 20:00:00","BZN|NL","Fossil Hard coal","2009.11"
"27/11/2025 20:00:00 - 27/11/2025 20:15:00","BZN|NL","Fossil Hard coal","1856.68"
"27/11/2025 20:15:00 - 27/11/2025 20:30:00","BZN|NL","Fossil Hard coal","1845.73"
"27/11/2025 20:30:00 - 27/11/2025 20:45:00","BZN|NL","Fossil Hard coal","1840.05"
"27/11/2025 20:45:00 - 27/11/2025 21:00:00","BZN|NL","Fossil Hard coal","1741.32"
"27/11/2025 21:00:00 - 27/11/2025 21:15:00","BZN|NL","Fossil Hard coal","1576.22"
"27/11/2025 21:15:00 - 27/11/2025 21:30:00","BZN|NL","Fossil Hard coal","1515.22"
"27/11/2025 21:30:00 - 27/11/2025 21:45:00","BZN|NL","Fossil Hard coal","1442.26"
"27/11/2025 21:45:00 - 27/11/2025 22:00:00","BZN|NL","Fossil Hard coal","1259.11"
"27/11/2025 22:00:00 - 27/11/2025 22:15:00","BZN|NL","Fossil Hard coal","1195.02"
"27/11/2025 22:15:00 - 27/11/2025 22:30:00","BZN|NL","Fossil Hard coal","1043.32"
"27/11/2025 22:30:00 - 27/11/2025 22:45:00","BZN|NL","Fossil Hard coal","1054.64"
"27/11/2025 22:45:00 - 27/11/2025 23:00:00","BZN|NL","Fossil Hard coal","1061.30"
"27/11/2025 23:00:00 - 27/11/2025 23:15:00","BZN|NL","Fossil Hard coal","1059.46"
"27/11/2025 23:15:00 - 27/11/2025 23:30:00","BZN|NL","Fossil Hard coal","994.23"
"27/11/2025 23:30:00 - 27/11/2025 23:45:00","BZN|NL","Fossil Hard coal","970.30"
"27/11/2025 23:45:00 - 28/11/2025 00:00:00","BZN|NL","Fossil Hard coal","917.82"
"28/11/2025 00:00:00 - 28/11/2025 00:15:00","BZN|NL","Fossil Hard coal","834.51"
"28/11/2025 00:15:00 - 28/11/2025 00:30:00","BZN|NL","Fossil Hard coal","799.16"
"28/11/2025 00:30:00 - 28/11/2025 00:45:00","BZN|NL","Fossil Hard coal","806.86"
"28/11/2025 00:45:00 - 28/11/2025 01:00:00","BZN|NL","Fossil Hard coal","807.19"
"28/11/2025 01:00:00 - 28/11/2025 01:15:00","BZN|NL","Fossil Hard coal","808.52"
"28/11/2025 01:15:00 - 28/11/2025 01:30:00","BZN|NL","Fossil Hard coal","803.84"
"28/11/2025 01:30:00 - 28/11/2025 01:45:00","BZN|NL","Fossil Hard coal","811.98"
"28/11/2025 01:45:00 - 28/11/2025 02:00:00","BZN|NL","Fossil Hard coal","804.95"
"28/11/2025 02:00:00 - 28/11/2025 02:15:00","BZN|NL","Fossil Hard coal","802.56"
"28/11/2025 02:15:00 - 28/11/2025 02:30:00","BZN|NL","Fossil Hard coal","807.34"
"28/11/2025 02:30:00 - 28/11/2025 02:45:00","BZN|NL","Fossil Hard coal","802.02"
"28/11/2025 02:45:00 - 28/11/2025 03:00:00","BZN|NL","Fossil Hard coal","805.82"
"28/11/2025 03:00:00 - 28/11/2025 03:15:00","BZN|NL","Fossil Hard coal","810.65"
"28/11/2025 03:15:00 - 28/11/2025 03:30:00","BZN|NL","Fossil Hard coal","812.04"
"28/11/2025 03:30:00 - 28/11/2025 03:45:00","BZN|NL","Fossil Hard coal","814.18"
"28/11/2025 03:45:00 - 28/11/2025 04:00:00","BZN|NL","Fossil Hard coal","810.83"
"28/11/2025 04:00:00 - 28/11/2025 04:15:00","BZN|NL","Fossil Hard coal","828.94"
"28/11/2025 04:15:00 - 28/11/2025 04:30:00","BZN|NL","Fossil Hard coal","821.07"
"28/11/2025 04:30:00 - 28/11/2025 04:45:00","BZN|NL","Fossil Hard coal","812.20"
"28/11/2025 04:45:00 - 28/11/2025 05:00:00","BZN|NL","Fossil Hard coal","831.50"
"28/11/2025 05:00:00 - 28/11/2025 05:15:00","BZN|NL","Fossil Hard coal","910.49"
"28/11/2025 05:15:00 - 28/11/2025 05:30:00","BZN|NL","Fossil Hard coal","897.29"
"28/11/2025 05:30:00 - 28/11/2025 05:45:00","BZN|NL","Fossil Hard coal","892.34"
"28/11/2025 05:45:00 - 28/11/2025 06:00:00","BZN|NL","Fossil Hard coal","901.60"
"28/11/2025 06:00:00 - 28/11/2025 06:15:00","BZN|NL","Fossil Hard coal","972.33"
"28/11/2025 06:15:00 - 28/11/2025 06:30:00","BZN|NL","Fossil Hard coal","1088.16"
"28/11/2025 06:30:00 - 28/11/2025 06:45:00","BZN|NL","Fossil Hard coal","1090.68"
"28/11/2025 06:45:00 - 28/11/2025 07:00:00","BZN|NL","Fossil Hard coal","1180.22"
"28/11/2025 07:00:00 - 28/11/2025 07:15:00","BZN|NL","Fossil Hard coal","1423.98"
"28/11/2025 07:15:00 - 28/11/2025 07:30:00","BZN|NL","Fossil Hard coal","1593.48"
"28/11/2025 07:30:00 - 28/11/2025 07:45:00","BZN|NL","Fossil Hard coal","1618.00"
"28/11/2025 07:45:00 - 28/11/2025 08:00:00","BZN|NL","Fossil Hard coal","1709.30"
"28/11/2025 08:00:00 - 28/11/2025 08:15:00","BZN|NL","Fossil Hard coal","1903.33"
"28/11/2025 08:15:00 - 28/11/2025 08:30:00","BZN|NL","Fossil Hard coal","1964.26"
"28/11/2025 08:30:00 - 28/11/2025 08:45:00","BZN|NL","Fossil Hard coal","1985.90"
"28/11/2025 08:45:00 - 28/11/2025 09:00:00","BZN|NL","Fossil Hard coal","1982.55"
"28/11/2025 09:00:00 - 28/11/2025 09:15:00","BZN|NL","Fossil Hard coal","2063.72"
"28/11/2025 09:15:00 - 28/11/2025 09:30:00","BZN|NL","Fossil Hard coal","2083.57"
"28/11/2025 09:30:00 - 28/11/2025 09:45:00","BZN|NL","Fossil Hard coal","2070.88"
"28/11/2025 09:45:00 - 28/11/2025 10:00:00","BZN|NL","Fossil Hard coal","2072.67"
"28/11/2025 10:00:00 - 28/11/2025 10:15:00","BZN|NL","Fossil Hard coal","2060.42"
"28/11/2025 10:15:00 - 28/11/2025 10:30:00","BZN|NL","Fossil Hard coal","2053.64"
"28/11/2025 10:30:00 - 28/11/2025 10:45:00","BZN|NL","Fossil Hard coal","2053.28"
"28/11/2025 10:45:00 - 28/11/2025 11:00:00","BZN|NL","Fossil Hard coal","2013.87"
"28/11/2025 11:00:00 - 28/11/2025 11:15:00","BZN|NL","Fossil Hard coal","2018.99"
"28/11/2025 11:15:00 - 28/11/2025 11:30:00","BZN|NL","Fossil Hard coal","1964.21"
"28/11/2025 11:30:00 - 28/11/2025 11:45:00","BZN|NL","Fossil Hard coal","1947.31"
"28/11/2025 11:45:00 - 28/11/2025 12:00:00","BZN|NL","Fossil Hard coal","1962.36"
"28/11/2025 12:00:00 - 28/11/2025 12:15:00","BZN|NL","Fossil Hard coal","1998.61"
"28/11/2025 12:15:00 - 28/11/2025 12:30:00","BZN|NL","Fossil Hard coal","2041.73"
"28/11/2025 12:30:00 - 28/11/2025 12:45:00","BZN|NL","Fossil Hard coal","2053.35"
"28/11/2025 12:45:00 - 28/11/2025 13:00:00","BZN|NL","Fossil Hard coal","2041.42"
"28/11/2025 13:00:00 - 28/11/2025 13:15:00","BZN|NL","Fossil Hard coal","1976.81"
"28/11/2025 13:15:00 - 28/11/2025 13:30:00","BZN|NL","Fossil Hard coal","1945.34"
"28/11/2025 13:30:00 - 28/11/2025 13:45:00","BZN|NL","Fossil Hard coal","1918.91"
"28/11/2025 13:45:00 - 28/11/2025 14:00:00","BZN|NL","Fossil Hard coal","1924.48"
"28/11/2025 14:00:00 - 28/11/2025 14:15:00","BZN|NL","Fossil Hard coal","1879.76"
"28/11/2025 14:15:00 - 28/11/2025 14:30:00","BZN|NL","Fossil Hard coal","1850.41"
"28/11/2025 14:30:00 - 28/11/2025 14:45:00","BZN|NL","Fossil Hard coal","1868.78"
"28/11/2025 14:45:00 - 28/11/2025 15:00:00","BZN|NL","Fossil Hard coal","1888.59"
"28/11/2025 15:00:00 - 28/11/2025 15:15:00","BZN|NL","Fossil Hard coal","2000.07"
"28/11/2025 15:15:00 - 28/11/2025 15:30:00","BZN|NL","Fossil Hard coal","2077.87"
"28/11/2025 15:30:00 - 28/11/2025 15:45:00","BZN|NL","Fossil Hard coal","2103.00"
"28/11/2025 15:45:00 - 28/11/2025 16:00:00","BZN|NL","Fossil Hard coal","2106.32"
"28/11/2025 16:00:00 - 28/11/2025 16:15:00","BZN|NL","Fossil Hard coal","2111.26"
"28/11/2025 16:15:00 - 28/11/2025 16:30:00","BZN|NL","Fossil Hard coal","2113.46"
"28/11/2025 16:30:00 - 28/11/2025 16:45:00","BZN|NL","Fossil Hard coal","2080.92"
"28/11/2025 16:45:00 - 28/11/2025 17:00:00","BZN|NL","Fossil Hard coal","2068.77"
"28/11/2025 17:00:00 - 28/11/2025 17:15:00","BZN|NL","Fossil Hard coal","2079.79"
"28/11/2025 17:15:00 - 28/11/2025 17:30:00","BZN|NL","Fossil Hard coal","2101.63"
"28/11/2025 17:30:00 - 28/11/2025 17:45:00","BZN|NL","Fossil Hard coal","2133.68"
"28/11/2025 17:45:00 - 28/11/2025 18:00:00","BZN|NL","Fossil Hard coal","2130.84"
"28/11/2025 18:00:00 - 28/11/2025 18:15:00","BZN|NL","Fossil Hard coal","2132.38"
"28/11/2025 18:15:00 - 28/11/2025 18:30:00","BZN|NL","Fossil Hard coal","2139.87"
"28/11/2025 18:30:00 - 28/11/2025 18:45:00","BZN|NL","Fossil Hard coal","2132.04"
"28/11/2025 18:45:00 - 28/11/2025 19:00:00","BZN|NL","Fossil Hard coal","2125.09"
